"Date","PCECTPI","headline_inflation","headline_inflation_change","headline_inflation_ma","JCXFE","core_inflation","core_inflation_change","core_inflation_ma","food_energy","food_energy_late_period","UNRATE","ST_UNRATE","LT_UNRATE","OPHNFB","trend_8_quarter","actual_8_quarter_change","nixon_price_on","nixon_price_off","NIXON"
"1970-Q3",19.851,4.46795074202716,-0.257171780879303,4.37101469134742,20.602,4.58398903497639,-0.0426926945090784,4.48202854272832,-0.116038292949232,0,5.16666666666667,4.87305767181941,0.29360899484726,44.351,4.79040444878921,2.68336729023893,0,0,0
"1970-Q4",20.108,4.61474429009937,0.146793548072217,4.51143145053345,20.892,4.82689412945308,0.242905094476697,4.71401763493491,-0.212149839353712,0,5.83333333333333,5.42567885857545,0.407654474757878,43.943,4.75881887728109,1.98667811636919,0,0,0
"1971-Q1",20.299,4.39724336556264,-0.217500924536729,4.30330845674218,21.156,5.00297796307325,0.176083833620169,4.88185253203293,-0.60573459751061,0,5.93333333333333,5.39581241933171,0.537520914001625,45.245,4.73101488911713,4.17913884411696,0,0,0
"1971-Q2",20.53,4.43054071926345,0.0332973537008092,4.3351982305373,21.397,5.01595092024539,0.0129729571721375,4.8942066157887,-0.585410200981938,0,5.9,5.32235580073634,0.577644199263664,45.373,4.70506372065962,5.33488102147416,0,0,0
"1971-Q3",20.732,4.4380635736235,0.00752285436004385,4.3424016629428,21.599,4.8393359867974,-0.176614933447993,4.72588588606149,-0.401272413173901,0,6.03333333333333,5.33253988271644,0.700793450616895,45.804,4.67895037763882,6.21956310004175,0.8,0,0.8
"1971-Q4",20.86,3.73980505271533,-0.698258520908165,3.67157037422974,21.722,3.97281255983152,-0.866523426965874,3.89592612837917,-0.233007507116192,0,5.93333333333333,5.27983434588111,0.653498987452221,45.407,4.65075827473825,5.82902158206311,0.8,0,0.8
"1972-Q1",21.08,3.84748017143701,0.107675118721679,3.77530999225306,21.931,3.66326337681982,-0.309549183011699,3.59776078216347,0.184216794617186,0,5.76666666666667,5.06872885451909,0.697937812147575,46.117,4.61881154737929,7.15663266491623,0.8,0,0.8
"1972-Q2",21.202,3.27325864588407,-0.574221525552936,3.22082858200634,22.079,3.18736271439923,-0.475900662420599,3.13762052433919,0.0858959314848495,0,5.7,4.992147571891,0.707852428109005,47.027,4.58161843462512,7.69706407731417,0.8,0,0.8
"1972-Q3",21.388,3.16419062319121,-0.109068022692862,3.11516167590251,22.245,2.99087920737072,-0.19648350702851,2.94702469358885,0.173311415820498,0,5.56666666666667,4.99786301955337,0.568803647113295,47.299,4.53808371008849,6.64697526549571,0.8,0,0.8
"1972-Q4",21.562,3.36529242569512,0.201101802503906,3.30990565442999,22.385,3.05220513764847,0.0613259302777527,3.00655198350848,0.313087288046651,0,5.36666666666667,4.780135804065,0.58653086260167,47.701,4.48759893576386,8.55198780238036,0,0,0
"1973-Q1",21.823,3.52466793168881,0.159375505993696,3.46397358237014,22.541,2.78145091423099,-0.270754223417474,2.74347121744549,0.743217017457821,0,4.93333333333333,4.53424103786594,0.399092295467396,48.781,4.42988518795121,7.81522820201128,0,0,0
"1973-Q2",22.242,4.90519762286576,1.38052969117695,4.78868765457445,22.848,3.48294759726436,0.701496683033367,3.42366556289684,1.4222500256014,0,4.93333333333333,4.53646703520556,0.396866298127778,48.802,4.36529860371092,7.55735790007274,0,0,0
"1973-Q3",22.647,5.88647839910228,0.981280776236522,5.71973757391122,23.152,4.07732074623511,0.594373148970747,3.99639056311232,1.80915765286718,0,4.8,4.47999821528829,0.320001784711713,48.343,4.29472427994933,5.54318400139726,0,0,0
