"Date","PCECTPI","headline_inflation","headline_inflation_change","headline_inflation_ma","JCXFE","core_inflation","core_inflation_change","core_inflation_ma","food_energy","food_energy_late_period","UNRATE","ST_UNRATE","LT_UNRATE","OPHNFB","trend_8_quarter","actual_8_quarter_change","nixon_price_on","nixon_price_off","NIXON","n","NAIRU_smoothed","NAIRU","UNGAP_raw","UNGAP"
"1994-Q4",66.92,2.119607514001,-0.108924448242877,2.09745629974787,68.248,2.21050739831067,-0.00686427111579446,2.18642986132513,-0.0908998843096671,-0.0908998843096671,5.63333333333333,4.50192878413291,1.13140454920043,65.991,3.47484691250404,0.220210794885029,0,0,0,85,5.40274573672252,5.76524381102728,-0.13191047769395,0.230587596610812
"1995-Q1",67.247,2.2519234862999,0.132315972298902,2.2269420359839,68.606,2.28251956764814,0.0720121693374747,2.25685981522892,-0.0305960813482393,-0.0305960813482393,5.46666666666667,4.4947648140998,0.971901852566869,66.04,3.5281465322216,1.16576540694559,0,0,0,86,5.26928056017335,5.7368926458295,-0.270225979162826,0.197386106493323
"1995-Q2",67.639,2.27722921990534,0.0253057336054394,2.25168739223234,69.013,2.20211474098867,-0.080404826659473,2.1782183749318,0.0751144789166731,0.0751144789166731,5.66666666666667,4.67670728323116,0.989959383435505,66.348,3.59368471423336,2.22797448460756,0,0,0,87,5.12534360725469,5.64231585907411,0.0243508075925618,0.541323059411978
"1995-Q3",67.915,1.96375756301891,-0.31347165688643,1.94472461461608,69.342,2.11919944626893,-0.0829152947197374,2.09705670112301,-0.15544188325002,-0.15544188325002,5.66666666666667,4.71771250220242,0.948954164464245,66.342,3.67144120123794,1.78275544645596,0,0,0,88,4.97067687101964,5.60085471423544,0.0658119524312308,0.695989795647033
"1995-Q4",68.214,1.93365212193664,-0.0301054410822763,1.91519462564012,69.69,2.11288242878911,-0.00631701747982039,2.09087058440343,-0.179230306852476,-0.179230306852476,5.56666666666667,4.64733398518504,0.91933268148163,66.708,3.7611823437106,1.94855806703038,0,0,0,89,4.80534545217865,5.60631142532748,-0.0396447586608097,0.761321214488016
"1996-Q1",68.593,2.0015762784957,0.0679241565590643,1.98180808875144,69.964,1.97941870973385,-0.133463719055263,1.96008295808392,0.0221575687618516,0.0221575687618516,5.53333333333333,4.60992907801418,0.923404255319149,67.122,3.86237938497739,2.2904951309834,0,0,0,90,4.62980831259422,5.66586789756506,-0.132534564231728,0.90352502073911
"1996-Q2",69.052,2.08903147592367,0.0874551974279694,2.06751041845994,70.296,1.85907003028415,-0.120348679449698,1.84200055453241,0.229961445639519,0.229961445639519,5.5,4.45563947671126,1.04436052328874,67.775,3.97422034582116,3.19442118245352,0,0,0,91,4.44502501786203,5.53322168360478,-0.0332216836047818,1.05497498213797
"1996-Q3",69.346,2.10704557167047,0.0180140957467967,2.0851543380239,70.617,1.83871246863374,-0.0203575616504144,1.82201254929399,0.26833310303673,0.26833310303673,5.26666666666667,4.31497345185465,0.95169321481202,68.02,4.09564764011005,4.15582029216305,0,0,0,92,4.25260267081838,5.62803703287797,-0.361370366211305,1.01406399584829
"1996-Q4",69.819,2.35288943618613,0.24584386451566,2.32563566556134,71.019,1.9070167886354,0.0683043200016598,1.88906114246903,0.44587264755073,0.44587264755073,5.33333333333333,4.4528825476927,0.880450785640631,68.081,4.22548183809294,3.16709854374082,0,0,0,93,4.05482849721568,5.29268939839885,0.0406439349344758,1.27850483611765
"1997-Q1",70.127,2.2363798055195,-0.116509630666624,2.21173952262728,71.298,1.90669487164828,-0.000321916987115589,1.88874524911276,0.329684933871221,0.329684933871221,5.23333333333333,4.40150757104539,0.831825762287941,67.936,4.36255291199557,2.8709872804361,0,0,0,94,3.85484936928259,5.17280685046849,0.0605264828648355,1.37848396405074
"1997-Q2",70.303,1.81167815559287,-0.424701649926629,1.79546282049978,71.67,1.95459201092522,0.0478971392769427,1.93573518122863,-0.142913855332351,-0.142913855332351,5,4.18640074838495,0.813599251615052,68.937,4.50552546165395,3.90215228793633,0,0,0,95,3.65658582231106,5.45086500891501,-0.450865008915012,1.34341417768894
"1997-Q3",70.488,1.6468145242696,-0.164863631323274,1.63340159097354,71.837,1.72762932438365,-0.226962686541578,1.7128754942215,-0.0808148001140467,-0.0808148001140467,4.86666666666667,4.07350464894941,0.793162017717257,69.501,4.65283102977417,4.76168942751199,0,0,0,96,3.46478211501873,4.17416912797673,0.692497538689939,1.40188455164794
